iteration,learning_rate,success,test,db,tag
90,0.5,89.73382315543851,test,flue,shuffle
91,0.5,89.56115790375777,train,flue,shuffle
91,0.5,89.77469940913423,test,flue,shuffle
92,0.5,89.60004091852409,train,flue,shuffle
92,0.5,89.81517281946259,test,flue,shuffle
93,0.5,89.63860782021959,train,flue,shuffle
93,0.5,89.85527253988033,test,flue,shuffle
94,0.5,89.67688028784781,train,flue,shuffle
94,0.5,89.8950310445648,test,flue,shuffle
95,0.5,89.71488082294731,train,flue,shuffle
95,0.5,89.93448233829187,test,flue,shuffle
96,0.5,89.75263150421945,train,flue,shuffle
96,0.5,89.97365990745374,test,flue,shuffle
97,0.5,89.7901530197375,train,flue,shuffle
97,0.5,90.01259479997462,test,flue,shuffle
98,0.5,89.82746407236118,train,flue,shuffle
98,0.5,90.05131408937463,test,flue,shuffle
99,0.5,89.86458112208602,train,flue,shuffle
99,0.5,90.08983982643716,test,flue,shuffle
100,0.5,89.90151836598457,train,flue,shuffle
100,0.5,90.12818846502519,test,flue,shuffle
101,0.5,89.93828785182491,train,flue,shuffle
101,0.5,90.16637068441564,test,flue,shuffle
102,0.5,89.97489964706173,train,flue,shuffle
102,0.5,90.20439151118711,test,flue,shuffle
103,0.5,90.01136201639336,train,flue,shuffle
103,0.5,90.24225065166395,test,flue,shuffle
104,0.5,90.0476815858365,train,flue,shuffle
104,0.5,90.27994296499614,test,flue,shuffle
105,0.5,90.08386348622342,train,flue,shuffle
105,0.5,90.3174590265454,test,flue,shuffle
106,0.5,90.1199114759181,train,flue,shuffle
106,0.5,90.3547857463225,test,flue,shuffle
107,0.5,90.15582804439076,train,flue,shuffle
107,0.5,90.39190701665582,test,flue,shuffle
108,0.5,90.19161449769649,train,flue,shuffle
108,0.5,90.42880436808674,test,flue,shuffle
109,0.5,90.22727102566277,train,flue,shuffle
109,0.5,90.46545761452836,test,flue,shuffle
110,0.5,90.26279674976733,train,flue,shuffle
110,0.5,90.50184546980277,test,flue,shuffle
111,0.5,90.29818975079034,train,flue,shuffle
111,0.5,90.53794611913808,test,flue,shuffle
112,0.5,90.33344707646049,train,flue,shuffle
112,0.5,90.57373773175472,test,flue,shuffle
